XAU,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1H,1591740000,1714.786,1716.656,1713.85,1714.538,826,5527.7
XAU,1H,1591743600,1714.538,1717.164,1712.056,1713.162,880,5423.65
XAU,1H,1591747200,1713.162,1717.368,1712.816,1716.686,597,5407.5
XAU,1H,1591750800,1716.686,1718.823,1714.88,1716.866,1468,5377.65
XAU,1H,1591754400,1716.866,1718.228,1715.854,1716.378,912,5307.85
XAU,1H,1591758000,1716.378,1717.394,1714.829,1715.027,592,5199.8
XAU,1H,1591761600,1715.027,1716.817,1714.708,1716.366,649,4815.25
XAU,1H,1591765200,1716.366,1719.028,1716.01,1718.036,2448,4627.7
XAU,1H,1591768800,1718.036,1720.033,1716.338,1717.386,4329,4622.2
XAU,1H,1591772400,1717.386,1718.808,1715.828,1717.196,1466,4572.35
XAU,1H,1591776000,1717.196,1720.788,1717.064,1719.444,1254,4468.7
XAU,1H,1591779600,1719.444,1720.731,1717.308,1718.975,2048,4262.15
XAU,1H,1591783200,1718.975,1719.627,1716.094,1719.626,1512,3924
XAU,1H,1591786800,1719.626,1724.438,1718.968,1723.706,2962,3665
XAU,1H,1591790400,1723.706,1725.116,1720.966,1722.838,3485,3070.75
XAU,1H,1591794000,1722.838,1725.219,1720.84,1723.846,8948,3077.8
XAU,1H,1591797600,1723.846,1727.356,1718.54,1718.742,17481,3501.85
XAU,1H,1591801200,1718.742,1719.152,1713.198,1717.981,7246,3511.7
XAU,1H,1591804800,1717.981,1719.036,1714.106,1714.536,5880,3422.9
XAU,1H,1591808400,1714.536,1715.16,1712.87,1713.958,5010,3499.65
XAU,1H,1591812000,1713.958,1731.28,1708.34,1728.085,22840,4600.35
XAU,1H,1591815600,1728.085,1739.932,1726.556,1738.588,17915,5452.1
XAU,1H,1591819200,1738.588,1739.808,1732.226,1738.67,2754,5559.95
XAU,1H,1591826400,1738.67,1740.068,1735.545,1735.961,2117,5592.4
XAU,1H,1591830000,1735.961,1737.992,1734.358,1735.506,1994,5646.5
XAU,1H,1591833600,1735.506,1737.442,1734.693,1734.962,2133,5723.55
XAU,1H,1591837200,1734.962,1735.01,1730.992,1732.278,2472,5814.7
XAU,1H,1591840800,1732.278,1734.522,1731.104,1732.454,806,5732.6
XAU,1H,1591844400,1732.454,1734,1731.236,1731.702,1134,5572.85
